cpu_utlilization %,memory_utilization %,memory_usage MB,directory size MB,time_taken sec,operation_type,total cpu in use %,total ram GB,ram in use %,disk_usage %
0,0.197928107,15.95703125,22.83051968,2.41695857,encription,49.3,7.867298126,57.2,41.3
0,0.198170547,15.9765625,22.83064651,0.251324415,decryption,60.6,7.867298126,58.5,41.3
0,0.202873885,16.35546875,3225.001507,60.64832425,encription,53,7.867298126,46.8,81.4
0,0.202679933,16.33984375,3224.988849,58.87081027,decryption,53.7,7.867298126,48.1,81.4
0,0.198703915,16.01953125,53.06350327,0.973660469,decryption,12.9,7.867298126,56.7,81.4
0,0.198703915,16.01953125,14.63443661,0.140127182,encription,5,7.867298126,48.4,81.4
0,0.198316011,15.98828125,14.63448811,0.093373537,decryption,5.9,7.867298126,48.3,81.4
0,0.199673676,16.09765625,339.6399298,4.795329571,encription,19.7,7.867298126,44.1,81.4
0,0.200449484,16.16015625,339.6385527,4.701604366,decryption,19,7.867298126,43.9,81.4
0,0.199431235,16.078125,37.06429672,0.265275478,decryption,6.9,7.867298126,43.2,81.4
0,0.198122059,15.97265625,24.50279427,0.155626774,encription,5.7,7.867298126,42.9,81.4
0,0.199237283,16.0625,24.50285149,0.140162706,decryption,6.4,7.867298126,42.9,81.4
0,0.199091819,16.05078125,76.28923702,1.765288591,decryption,6.6,7.867298126,43.5,81.4
0,0.210292552,16.953125,30.60294247,0.249362946,encription,5.9,7.867298126,41.7,81.4
0,0.199237283,16.0625,30.60295486,0.218266726,decryption,8.1,7.867298126,41.6,81.4
0,0.199140307,16.0546875,22.83052063,0.347973824,encription,100,7.867298126,55.3,41.3
0,0.198558451,16.0078125,22.83037281,0.202479362,description,57.1,7.867298126,54,41.3
0,0.046742453,3.890625,3225.133605,103.1317861,encription,39.3,7.867298126,22.2,68.1
0,0.043930148,3.66796875,3225.133829,125.7725337,decryption,26.9,7.867298126,20.9,68.1
0,0.20006158,16.12890625,364.3788137,7.454063892,encription,26.3,7.867298126,37.1,68.1
0,0.199722164,16.1015625,364.3786955,4.332408428,decryption,23.3,7.867298126,38,68.1
0,0.198655427,16.015625,732.4565725,14.90413904,encription,28,7.867298126,38,68.1
0,0.199188795,16.05859375,732.4565115,9.689086676,decryption,29.2,7.867298126,38.5,68.1
0,0.198752403,16.0234375,22.83258343,0.338886261,encription,19.1,7.867298126,40.3,65.9
0,0.199867628,16.11328125,22.83254623,0.200044632,decryption,39.2,7.867298126,38.1,65.7
